"planet_id";"planet_name";"planet_status";"mass";"mass_error_min";"mass_error_max";"mass_sini";"mass_sini_error_min";"mass_sini_error_max";"radius";"radius_error_min";"radius_error_max";"orbital_period";"orbital_period_error_min";"orbital_period_error_max";"semi_major_axis";"semi_major_axis_error_min";"semi_major_axis_error_max";"eccentricity";"eccentricity_error_min";"eccentricity_error_max";"inclination";"inclination_error_min";"inclination_error_max";"angular_distance";"discovered";"updated";"omega";"omega_error_min";"omega_error_max";"tperi";"tperi_error_min";"tperi_error_max";"tconj";"tconj_error_min";"tconj_error_max";"tzero_tr";"tzero_tr_error_min";"tzero_tr_error_max";"tzero_tr_sec";"tzero_tr_sec_error_min";"tzero_tr_sec_error_max";"lambda_angle";"lambda_angle_error_min";"lambda_angle_error_max";"impact_parameter";"impact_parameter_error_min";"impact_parameter_error_max";"tzero_vr";"tzero_vr_error_min";"tzero_vr_error_max";"k";"k_error_min";"k_error_max";"temp_calculated";"temp_calculated_error_min";"temp_calculated_error_max";"temp_measured";"hot_point_lon";"geometric_albedo";"geometric_albedo_error_min";"geometric_albedo_error_max";"log_g";"publication";"detection_type";"mass_detection_type";"radius_detection_type";"alternate_names";"molecules";"star_name";"ra";"dec";"mag_v";"mag_i";"mag_j";"mag_h";"mag_k";"star_distance";"star_distance_error_min";"star_distance_error_max";"star_metallicity";"star_metallicity_error_min";"star_metallicity_error_max";"star_mass";"star_mass_error_min";"star_mass_error_max";"star_radius";"star_radius_error_min";"star_radius_error_max";"star_sp_type";"star_age";"star_age_error_min";"star_age_error_max";"star_teff";"star_teff_error_min";"star_teff_error_max";"star_detected_disc";"star_magnetic_field";"star_alternate_names";"x";"y";"z";"star_id";"distance_to_host_star"
1;"11 Com b";"Confirmed";;;;"19.4";"1.5";"1.5";;;;"326.03";"0.32";"0.32";"1.29";"0.05";"0.05";"0.231";"0.005";"0.005";;;;"0.011664";2008;"2015-08-21";"94.8";"1.5";"1.5";"2452899.6";"1.6";"1.6";;;;;;;;;;;;;;;;;;;"296.7";"5.6";"5.6";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"11 Com";185.1791667;17.7927778;"4.74";;;;;110.6;"10.5";"10.5";"-0.35";"0.09";"0.09";"2.7";"0.3";"0.3";"19.0";"2.0";"2.0";"G8 III";;;;"4742.0";"100.0";"100.0";;;;-104.879822273928;-9.50636164704847;33.7966265775854;28205;3.91199041882269
3;"11 UMi b";"Confirmed";;;;"10.5";"2.47";"2.47";;;;"516.22";"3.25";"3.25";"1.54";"0.07";"0.07";"0.08";"0.03";"0.03";;;;"0.012887";2009;"2009-08-12";"117.63";"21.06";"21.06";"2452861.05";"2.06";"2.06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"11 UMi";229.275;71.8238889;"5.02";;;;;119.5;"6.9";"6.9";"0.04";"0.04";"0.04";"1.8";"0.25";"0.25";"24.08";"1.84";"1.84";"K4III";"1.56";"0.54";"0.54";"4340.0";"70.0";"70.0";;;;-24.3203973747922;-28.2501278774772;113.537212166049;32391;2.59995692893532
4;"14 And b";"Confirmed";;;;"5.33";"0.57";"0.57";;;;"185.84";"0.23";"0.23";"0.83";;;"0.0";;;;;;"0.010864";2008;"2014-08-27";;;;"2452861.4";"1.5";"1.5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"14 And";352.8208333;39.2361111;"5.22";"4.1";"3.02";"2.61";"2.33";76.4;"4.1";"4.1";"-0.24";;;"2.2";"0.2";"0.2";"11.0";"1.0";"1.0";"K0III";;;;"4813.0";"20.0";"20.0";;;;58.7113917609736;-7.39528589821199;48.3243440097555;17648;2.77607209393297
5;"14 Her b";"Confirmed";;;;"4.64";"0.19";"0.19";;;;"1773.4";"2.5";"2.5";"2.77";"0.05";"0.05";"0.369";"0.005";"0.005";;;;"0.153039";2002;"2014-08-27";"22.6";"0.9";"0.9";"2451372.7";"3.6";"3.6";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"14 Her";242.5958333;43.8216667;"6.67";;;;;18.1;;;"0.43";"0.08";"0.08";"0.9";;;"0.708";"0.085";"0.085";"K0 V";"5.1";;;"5311.0";"87.0";"87.0";;;;-6.01064815308526;-11.5936521216048;12.5327307185234;1428;0.528521651629661
6;"16 Cyg B b";"Confirmed";;;;"1.68";"0.07";"0.07";;;;"799.5";"0.6";"0.6";"1.68";"0.03";"0.03";"0.689";"0.011";"0.011";;;;"0.078468";1996;"2014-08-27";"83.4";"2.1";"2.1";"2450539.3";"1.6";"1.6";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"16 Cyg B";295.4625;50.5175;"6.2";;;;;21.41;"0.24";"0.24";"0.08";"0.04";"0.04";"1.01";"0.04";"0.04";"0.98";"0.13";"0.13";"G2.5 V";"8.0";"1.8";"1.8";"5766.0";"60.0";"60.0";;;;5.85267143399304;-12.2910770262838;16.5246410738533;2152;0.196854325072834
7;"17 Sco b";"Confirmed";;;;"4.32";"0.12";"0.15";;;;"578.38";"2.0";"2.0";"1.45";"0.02";"0.02";"0.06";"0.02";"0.03";;;;;2020;"2020-10-26";"57.03";"106.77";"113.18";"2453294.28";"182.91";"174.23";;;;;;;;;;;;;;;;;;;"92.4";"3.84";"3.9";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"17 Sco";243.462500017;-11.837777798;"5.24";;;;;116;"4.53";"4.91";"-0.01";"0.1";"0.1";"1.22";"0.14";"0.14";"25.92";"0.74";"0.78";"K3 III";"5.13";"1.33";"2.12";"4157.0";"11.0";"11.0";;;;-50.7246438901303;-101.5713622111;-23.7964047873003;30243;0.00911064924516121
8;"18 Del b";"Confirmed";;;;"10.3";;;;;;"993.3";"3.2";"3.2";"2.6";;;"0.08";"0.01";"0.01";;;;"0.035568";2008;"2014-08-27";"166.1";"6.5";"6.5";"2451672.0";"18.0";"18.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"18 Del";314.6083333;10.8391667;"5.52";;"4.03";"3.44";"3.67";73.1;"3.5";"3.5";"-0.052";"0.023";"0.023";"2.3";;;"8.5";;;"G6III";;;;"4979.0";"18.0";"18.0";;;;50.4190872412199;-51.1131596468123;13.7466560545365;16382;2.20119949410757
10;"1RXS 1609 b";"Confirmed";"14.0";"3.0";"2.0";;;;"1.7";;;;;;"330.0";"0.0";"0.0";;;;;;;"2.275862";2008;"2018-11-15";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1800.0";;;;;"4.0";"Published in a refereed paper";"Imaging";;;"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609";"CO, H2O, K";"1RXS 1609";242.375;-21.0827778;;"10.99";"9.82";"9.12";"8.92";145;"20.0";"20.0";;;;"0.73";"0.05";"0.05";"1.35";;;"K7V";"0.011";"0.002";"0.002";"4060.0";"200.0";"200.0";;;"1RXS1609, 1RXS J1609, 1RXS J160929";-62.7334585174065;-119.87061866922;-52.1588723258393;39866;1.96436204374345
12;"1SWASP J1407 b";"Confirmed";;;;"20.0";"6.0";"6.0";;;;"3725.0";"900.0";"900.0";"3.9";"1.7";"1.7";;;;;;;;2012;"2014-10-29";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";;;;"1SWASP J1407";211.950000016;-39.761944469;"12.4";;;;;133;"12.0";"12.0";;;;"0.9";;;"0.99";"0.11";"0.11";;"0.016";;;"4400.0";"100.0";"100.0";;;;-86.7501842032182;-54.1023254982699;-85.0667027478259;35750;2.28293580761039
13;"24 Boo b";"Confirmed";;;;"0.91";"0.1";"0.13";;;;"30.3506";"0.0078";"0.0078";"0.19";"0.009";"0.012";"0.042";"0.029";"0.048";;;;;2018;"2018-04-16";"210.0";"130.0";"100.0";"2450008.6";"7.9";"10.1";;;;;;;;;;;;;;;;;;;"59.9";"3.3";"3.3";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"24 Boo";217.162500013;49.845000026;"5.6";;;;;100;"2.5";"2.5";"-0.77";"0.03";"0.03";"0.99";"0.13";"0.19";"10.64";"0.59";"0.84";"G3IV";"6.92";"4.8";"4.8";"4893.0";"15.0";"15.0";;;;-51.3903440704199;-38.9544071370848;76.4302734583758;24692;0.00557564244904667
14;"24 Sex b";"Confirmed";;;;"1.99";"0.38";"0.26";;;;"452.8";"4.5";"2.1";"1.333";"0.009";"0.004";"0.09";"0.06";"0.14";;;;"0.017821";2010;"2014-05-23";"9.2";"165.4";"277.9";"2454762.0";"172.3";"172.3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"24 Sex";155.868205808;-0.902243675771;"7.38";;;;;72.2084;"0.6832";"0.6832";"-0.03";"0.04";"0.04";"1.54";"0.08";"0.08";"4.9";"0.08";"0.08";"G5";"2.7";"0.4";"0.4";"5098.0";"44.0";"44.0";;;;-65.8897534504791;29.5178012248322;-1.13702754864237;16428;3.90738957101402
15;"24 Sex c";"Confirmed";;;;"0.86";"0.22";"0.35";;;;"883.0";"14.0";"32.0";"2.08";"0.02";"0.05";"0.29";"0.09";"0.16";;;;"0.027807";2010;"2014-05-23";"220.5";"320.9";"182.2";"2454930.0";"96.5";"96.5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"24 Sex";155.868205808;-0.902243675771;"7.38";;;;;72.2084;"0.6832";"0.6832";"-0.03";"0.04";"0.04";"1.54";"0.08";"0.08";"4.9";"0.08";"0.08";"G5";"2.7";"0.4";"0.4";"5098.0";"44.0";"44.0";;;;-65.8897534504791;29.5178012248322;-1.13702754864237;16428;3.90738957101402
17;"2M 0103-55 (AB) b";"Confirmed";"13.0";"1.0";"1.0";;;;;;;;;;"84.0";;;;;;;;;;2013;"2020-05-29";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;;"H";"2M 0103-55 (AB)";15.9;-55.2656;;;"7.5";;;47.2;"3.1";"3.1";;;;"0.4";;;;;;"M";"0.03";;;;;;;;;25.8643850973499;7.36766390595349;-38.7890591804557;7711;2.61832444494938
18;"2M 0122-24 b";"Confirmed";"20.0";"7.0";"7.0";;;;"1.0";"0.2";"0.2";;;;"52.0";"6.0";"6.0";;;;;;;;2013;"2016-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1380.0";;;;;;"Published in a refereed paper";"Imaging";;;;;"2M 0122-24";20.7125;-24.6142;;;;;;36;"4.0";"4.0";;;;"0.4";"0.05";"0.05";;;;"M3.5";"0.12";"0.01";"0.01";;;;;;;30.6134217390069;11.5754811864806;-14.9942203775699;4930;2.26315336521591
19;"2M 0219-39 b";"Confirmed";"13.9";"1.1";"1.1";;;;"1.44";"0.03";"0.03";;;;"156.0";"10.0";"10.0";;;;;;;;2015;"2016-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1683.0";;;;;;"Published in a refereed paper";"Imaging";"Spectrum";"Theoretical";;;"2M 0219-39";34.841666674;-39.423055569;;;;;;39.4;"2.6";"2.6";;;;"0.11";"0.01";"0.01";"0.27";"0.01";"0.01";"M6";;;;"3064.0";"76.0";"76.0";;;"2MASS J0292210-3925225";24.9795608555361;17.3882012648194;-25.0206314116711;6475;3.36198721187504
20;"2M 0441+23 b";"Confirmed";"7.5";"2.5";"2.5";;;;;;;;;;"15.0";"0.6";"0.6";;;;;;;"0.107143";2010;"2016-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;;;"2M 0441+23";70.4375;23.0308333;;;"14.2";"13.72";"13.16";140;;;;;;"0.02";;;;;;"M8.5";"0.001";;;;;;;;;43.1405410066318;121.404095918336;54.7717008673885;38580;3.94690084138612
