"giliese_catalogue_name";"bayer_flamsteed_designation";"proper_name";"absolute_magnitude";"spectral_type";"colour_index";"x_parsecs";"y_parsecs";"z_parsecs";"constellation";"luminosity"
;;"Sol";"4.850";"G2V";"0.656";"0.000005";"0.000000";"0.000000";;"1"
"Gl 551";;"Proxima Centauri";"15.447";"M5Ve";"1.807";"-0.472264";"-0.361451";"-1.151219";"Cen";"0.00005770321353329293"
"Gl 559B";"Alp2Cen";;"5.739";"K1V";"0.900";"-0.495181";"-0.413973";"-1.156674";"Cen";"0.44096081645063756"
"Gl 559A";"Alp1Cen";"Rigil Kentaurus";"4.379";"G2V";"0.710";"-0.495203";"-0.414084";"-1.156625";"Cen";"1.543121065657792"
"Gl 699";;"Barnard's Star";"13.235";"sdM4";"1.570";"-0.017373";"-1.816613";"0.149123";"Oph";"0.00044258837236262646"
"GJ 1028";;;"14.460";"m";"1.87";"9.125486";"2.654896";"-3.110793";;"0.0001432187899273541"
"NN 3119";;;"14.600";"m";;"8.798100";"4.632201";"-1.065904";;"0.0001258925411794166"
"NN 3126";;;"11.030";"M4";"1.54";"3.812383";"2.235851";"8.970324";"Cas";"0.003372873086588689"
"NN 3304";;;"12.530";"m";"1.65";"3.078488";"8.256250";"4.728346";;"0.0008472274141405964"
"NN 3959";;;"14.790";"m+";"1.72";"-2.854261";"-7.003350";"6.542651";;"0.00010568175092136585"
"NN 3976";;;"14.080";"m";"1.75";"-2.742372";"-8.825850";"3.818871";;"0.00020323570109362208"
"NN 4248";;;"11.800";"M3.5";"1.65";"6.951863";"-3.913470";"-6.029623";"Gru";"0.001659586907437558"
"Gl 352A";;;"10.057";"M2";"1.545";"-7.758109";"5.882119";"-2.335351";"Hya";"0.008264184417157953"
"Gl 536";;;"9.704";"K5";"1.461";"-8.652161";"-5.048480";"-0.464497";"Vir";"0.011439314495393055"
"Gl 609";;;"12.547";"M3";"1.63";"-4.607576";"-8.215205";"3.538084";;"0.0008340651974086617"
;;;"6.476";"K3V";"1.040";"-4.185388";"-2.356764";"8.843971";"UMa";"0.22366601494661753"
"Gl 22A";;;"10.256";"M2.5Ve";"1.520";"3.855636";"0.550293";"9.281315";"Cas";"0.006880183161430377"
"Gl 75";;;"5.615";"K0V";"0.804";"3.955256";"2.009812";"9.037250";"Cas";"0.4943106869868351"
"NN 3079";;;"14.068";"DAwk";;"9.595226";"3.139221";"-0.327295";;"0.00020549440413453012"
"Gl 172";;;"8.596";"K8V";"1.423";"2.144056";"5.710386";"8.063288";"Cam";"0.03173949408562225"
"Gl 22B";;;"12.372";"dM3.5";;"3.879436";"0.553436";"9.338735";;"0.0009799411610955933"
"Gl 436";;;"10.640";"M3";"1.493";"-9.031878";"0.703493";"4.557621";"Leo";"0.004830588020397724"
"Gl 127.1B";;;"14.697";;"0.62";"2.496467";"2.736885";"-9.452317";;"0.0001151330474155817"
"Gl 453";;;"6.956";"K4V";"1.128";"-8.992748";"0.080959";"-4.722900";"Hya";"0.14374740058743607"
"Gl 568A";;;"11.495";;;"-6.761181";"-6.408157";"4.061269";"Boo";"0.0021978598727848252"
"GJ 1235";;;"13.345";"k-m";"1.71";"3.313201";"-8.904106";"3.621426";;"0.00039994474976109696"
"NN 3526";;;"12.613";"m";;"-2.721109";"2.653167";"9.436322";;"0.0007848741034887301"
"Gl 660A";;;"11.410";"G";"1.600";"-2.121931";"-9.955354";"-0.329093";"Oph";"0.0023768402866248734"
"Gl 852A";;;"13.358";"dM4.5e";"1.7";"9.081708";"-4.365172";"-1.560666";;"0.00039518458892843616"
"Gl 852B";;;"14.358";"dM5  e";"1.9";"9.079249";"-4.363990";"-1.560244";;"0.00015732581854464666"
"Gl 231";"Alp Men";;"5.037";"G5V";"0.714";"-0.119802";"2.679222";"-9.839152";"Men";"0.8417827076608124"
"GJ 1129";;;"12.556";"m";"1.59";"-8.054933";"5.392542";"-3.189296";;"0.0008271799518641329"
"NN 3571";;;"14.006";"m";;"-8.123758";"4.982052";"3.647928";;"0.00021757049509257934"
"Gl 487";;;"10.894";"M4";"1.626";"-4.041890";"-0.878428";"9.338443";"Dra";"0.0038229621656591935"
"Gl 748";;;"11.043";"M4";"1.542";"3.164580";"-9.704510";"0.514659";"Aql";"0.0033327289957613792"
"Gl 568B";;;"12.652";;;"-6.800458";"-6.446013";"4.085082";;"0.0007571815097147056"
"Gl 799B";;;"10.952";"dM4.5e";;"5.600417";"-6.565364";"-5.484229";"Mic";"0.0036240985589974396"
